Title,ProductId,Release,Price,In stock,Publisher,Created,Runtime,Spoken Languages,SubTitle Languages,ImageURL,Promotion,OrderType
Vinland Saga Limited Edition Blu-ray,Vinland-Saga-Limited-Edition-Blu-ray,2022-07-26,149.49,False,SENTAI FILMWORKS,2019,600,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726029443_anime-vinland-saga-limited-edition-blu-ray-primary.jpg,,Pre-order
Mother of the Goddess Dormitory Blu-ray,Mother-of-the-Goddess-Dormitory-Blu-ray,2022-07-19,45.49,False,SENTAI FILMWORKS,2021,250,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726023250_anime-mother-of-the-goddess-dormitory-blu-ray-primary.jpg,,Pre-order
Dai-Shogun Great Revolution Blu-ray,Dai-Shogun-Great-Revolution-Blu-ray,2022-07-19,32.49,False,SENTAI FILMWORKS,2014,300,['Japanese'],['English'],,,Pre-order
RahXephon Blu-ray,RahXephon-Blu-ray,2022-07-12,58.49,False,SENTAI FILMWORKS,2002,770,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726023052_anime-rahxephon-blu-ray-primary.jpg,,Pre-order
Non Non Biyori Nonstop Blu-ray,Non-Non-Biyori-Nonstop-Blu-ray,2022-07-12,38.99,False,SENTAI FILMWORKS,2021,325,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726028446_anime-non-non-biyori-nonstop-blu-ray-primary.jpg,,Pre-order
Amnesia Blu-ray,Amnesia-Blu-ray,2022-07-05,38.99,False,SENTAI FILMWORKS,2013,300,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021652_anime-amnesia-blu-ray-primary.jpg,,Pre-order
The Promised Neverland Season 2 Blu-ray,The-Promised-Neverland-Season-2-Blu-ray,2022-07-12,119.98,False,ANIPLEX OF AMERICA,2021,250,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816546026288_anime-the-promised-neverland-season-2-blu-ray-primary.jpg,,Pre-order
Fate/Grand Order Final Singularity Grand Temple of Time Solomon Blu-ray,Fate-Grand-Order-Final-Singularity-Grand-Temple-of-Time-Solomon-Blu-ray,2022-07-26,69.98,False,ANIPLEX OF AMERICA,2021,94,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816546026585_anime-fate-grand-order-final-singularity-grand-temple-of-time-solomon-blu-ray-primary.jpg,,Pre-order
SK8 the Infinity Blu-ray,SK8-the-Infinity-Blu-ray,2022-06-14,119.98,False,ANIPLEX OF AMERICA,2021,288,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816546026295_anime-sk8-the-infinity-blu-ray-primary.jpg,,Pre-order
Fate/Grand Order THE MOVIE Divine Realm of the Round Table Camelot Paladin Agateram Blu-ray,Fate-Grand-Order-THE-MOVIE-Divine-Realm-of-the-Round-Table-Camelot-Paladin-Agateram-Blu-ray,2022-05-17,69.98,False,ANIPLEX OF AMERICA,2021,95,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816546025939_anime-fate-grand-order-the-movie-divine-realm-of-the-round-table-camelot-paladin-agateram-blu-ray-primary.jpg,,Pre-order
Place to Place Blu-ray,Place-to-Place-Blu-ray,2022-06-28,32.49,False,SENTAI FILMWORKS,2012,325,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726021959_anime-place-to-place-blu-ray-primary.jpg,,Pre-order
Getter Robo Arc Blu-ray,Getter-Robo-Arc-Blu-ray,2022-06-21,45.49,False,SENTAI FILMWORKS,2021,325,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726022154_anime-getter-robo-arc-blu-ray-primary.jpg,,Pre-order
Student Councils Discretion Season 2 Blu-ray,Student-Councils-Discretion-Lv-2-Season-2-Blu-ray,2022-06-14,32.49,True,SENTAI FILMWORKS,2012,275,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726020754_anime-student-councils-discretion-lv-2-season-2-blu-ray-primary.jpg,,Pre-order
Student Councils Discretion Season 1 Blu-ray,Student-Councils-Discretion-Season-1-Blu-ray,2022-06-14,32.49,True,SENTAI FILMWORKS,2009,300,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726020655_anime-student-councils-discretion-season-1-blu-ray-primary.jpg,,Pre-order
IRODUKU The World in Colors Blu-ray,IRODUKU-The-World-in-Colors-Blu-ray,2022-06-21,45.49,False,SENTAI FILMWORKS,2018,325,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726020457_animeiroduku-the-world-in-colors-blu-ray-primary.jpg,,Pre-order
BTOOOM! Blu-ray,BTOOOM-Blu-ray,2022-06-07,38.99,True,SENTAI FILMWORKS,2012,300,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726020358_anime-btooom-blu-ray-primary.jpg,,Pre-order
Poupelle of Chimney Town Blu-ray/DVD,Poupelle-of-Chimney-Town-Blu-ray-DVD,2022-05-31,21.58,False,SHOUT FACTORY,2020,100,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/826663225235_anime-poupelle-of-chimney-town-blu-ray-dvd-primary.jpg,,Pre-order
Somali and the Forest Spirit Blu-ray,Somali-and-the-Forest-Spirit-Blu-ray,2022-05-24,45.49,True,SENTAI FILMWORKS,2020,300,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726022253_anime-somali-and-the-forest-spirit-blu-ray-primary.jpg,,Pre-order
I Couldnt Become a Hero So I Reluctantly Decided to Get a Job Blu-ray,Yusibu-I-Couldnt-Become-a-Hero-So-I-Reluctantly-Decided-to-Get-a-Job-Blu-ray,2022-05-24,32.49,True,SENTAI FILMWORKS,2013,325,['Japanese'],['English'],https://www.rightstufanime.com/images/productImages/816726029641_anime-yusibu-i-couldnt-become-a-hero-so-i-reluctantly-decided-to-get-a-job-blu-ray-primary.jpg,,Pre-order
Nana Blu-ray,Nana-Blu-ray,2022-05-17,64.99,True,SENTAI FILMWORKS,2006,1250,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021454_anime-nana-blu-ray-primary.jpg,,Pre-order
Infinite Stratos Blu-ray,Infinite-Stratos-Blu-ray,2022-05-17,38.99,True,SENTAI FILMWORKS,2011,325,"['English', 'Japanese']",['English'],https://www.rightstufanime.com/images/productImages/816726021256_anime-infinite-stratos-blu-ray-primary.jpg,,Pre-order
